ARRAY_ID	CHEMICAL	DOSE	VEHICLE	ROUTE	DURATION	ORGAN_OR_CELL_TYPE	ANIMAL_ID	SEX	SPECIES	STRAIN	STUDY_TYPE	RNA_ID	TOXICOLOGY_EXPERIMENT_DATE	RNA_EXTRACTION_DATE	cRNA_PREP_DATE	HYB_DATE
93167.CEL	D-GALACTOSAMINE	470 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050525-16291		Primary Rat Hepatocytes	RHCYT	In Vitro	16291	05/25/2005	11/22/2005	11/29/2005	12/01/2005
92951.CEL	TEMAFLOXACIN	1000 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	S030408-082	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96560	04/08/2003	11/08/2005	11/04/2005	11/28/2005
93123.CEL			DMSO .1 %	NONE	1 d	CELL CULTURE	C20041013-16265		Primary Rat Hepatocytes	RHCYT	In Vitro	16265	10/13/2004	11/21/2005	11/23/2005	12/01/2005
93417.CEL	CITALOPRAM	150 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040714-16553		Primary Rat Hepatocytes	RHCYT	In Vitro	16553	07/14/2004	11/28/2005	12/04/2005	12/11/2005
93636.CEL			DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040504-16684		Primary Rat Hepatocytes	RHCYT	In Vitro	16684	05/04/2004	11/30/2005	12/06/2005	12/13/2005
93329.CEL	ISOTRETINOIN	500 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040921-16460		Primary Rat Hepatocytes	RHCYT	In Vitro	16460	09/21/2004	11/23/2005	12/01/2005	12/07/2005
93326.CEL	DEXAMETHASONE	456 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040921-16457		Primary Rat Hepatocytes	RHCYT	In Vitro	16457	09/21/2004	11/23/2005	12/01/2005	12/06/2005
93217.CEL	TENIDAP	41 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20041012-16343		Primary Rat Hepatocytes	RHCYT	In Vitro	16343	10/12/2004	11/22/2005	11/29/2005	12/05/2005
93433.CEL	MONOCROTALINE	333 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040811-16570		Primary Rat Hepatocytes	RHCYT	In Vitro	16570	08/11/2004	11/29/2005	12/04/2005	12/11/2005
97493.CEL	VANCOMYCIN	160 mg/kg	SALINE 100 %	INTRAVENOUS	1 d	KIDNEY	S020617-064	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50751	06/17/2002	03/31/2006	04/11/2006	04/20/2006
